Calories,Carbohydrates (g),Lipids (g),Protein (g),Sodium (mg)
1637,143,NA,47,2182
1376,157,NA,79,2000
1600,150,NA,61,1630
1384,197,NA,52,1721
1435,122,NA,60,2669
2374,160,NA,130,3310
1999,171,NA,104,3141
1607,147,NA,89,2858
1551,724,NA,66,2570
1729,177,NA,70,2853
1833,186,NA,79,3109
647,52,NA,34,1576
1041,92,NA,55,2827
2628,255,NA,126,4122
576,98,NA,17,17
783,84,NA,33,2027
766,20,NA,12,1782
1035,69,NA,52,1057
647,52,NA,34,1576
806,113,NA,28,1636
2499,184,NA,132,5184
2929,128,NA,144,5275
1076,108,NA,48,2772
971,107,NA,43,1621
1425,126,NA,46,3829
3249,372,NA,95,2756
853,139,NA,44,1503
2227,161,NA,118,4986
197,30,NA,4,11
197,30,NA,4,11
576,98,NA,17,17
197,30,NA,4,11
197,30,NA,4,11
197,30,NA,4,11
2058,243,NA,60,1804
879,100,NA,37,2345
1545,165,NA,68,3567
794,113,NA,23,1187
965,138,NA,36,1080
879,100,NA,37,2345
1421,125,NA,66,2794
1088,119,NA,48,2806
708,475,NA,24,2452
878,100,NA,37,2345
1158,114,NA,29,400
1010,155,NA,35,438
965,138,NA,36,1080
1732,176,NA,79,2683
625,77,NA,23,1848
869,117,NA,36,1703
879,100,NA,37,2345
655,60,NA,49,1356
1610,188,NA,5618,3522
879,100,NA,37,2345
967,166,NA,25,472
1414,172,NA,63,2019
859,65,NA,41,2417
879,100,NA,37,2345
1061,146,NA,47,967
878,76,NA,30,1665
844,82,NA,38,1587
1435,162,NA,58,921
1476,111,NA,30,1322
879,100,NA,37,2345
879,100,NA,37,2345
1465,148,NA,67,3835
1267,116,NA,49,2728
965,138,NA,36,1080
1260,125,NA,23,738
2112,171,NA,107,4196
1162,146,NA,47,1507
1258,168,NA,50,2351
965,138,NA,36,1080
879,100,NA,37,2345
879,100,NA,37,2345
977,149,NA,36,1114
2112,171,NA,107,4196
1162,146,NA,47,1507
1258,168,NA,50,2351
965,138,NA,36,1080
879,100,NA,37,2345
879,100,NA,37,2345
977,149,NA,36,1114
2256,177,NA,107,3630
1162,146,NA,47,1507
1258,168,NA,50,2351
965,138,NA,36,1080
879,100,NA,37,2345
879,100,NA,37,2345
977,149,NA,36,1114
2256,177,NA,107,3630